geneId,label,H100,H080,H050,H030,H020,H010,H007,H005,H003,H000_adapt,H005_adapt,H010_adapt,H020_adapt,H030_adapt,H040_adapt,H050_adapt,H060_adapt,H070_adapt,H080_adapt,H090_adapt,H095_adapt
WBGene00004374,1,2.0,2.0,34.5,73.5,120.5,252.5,411.0,567.5,816.0,381.0,287.5,188.0,80.5,29.5,11.0,4.0,2.5,2.0,1.0,1.0,1.0
WBGene00013038,1,2.0,3.0,4.0,7.0,20.0,21.0,21.0,21.0,21.0,23.0,21.0,8.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
WBGene00006552,1,0.0,0.0,0.0,0.0,8.0,15.0,29.0,47.0,87.0,93.0,92.0,77.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00003036,1,49.0,56.0,70.0,89.0,146.0,634.0,869.0,992.0,1105.0,3217.0,3101.0,2372.0,1132.0,500.0,197.0,63.0,28.0,12.0,3.0,2.0,0.0
WBGene00011944,1,2.0,2.0,3.0,4.0,12.0,12.0,14.0,17.0,21.0,24.0,23.0,16.0,13.0,10.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0
WBGene00012950,1,2.0,2.0,2.0,4.0,16.0,39.0,54.0,62.0,69.0,75.0,74.0,72.0,30.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
WBGene00020499,1,0.0,0.0,3.0,5.0,9.0,11.0,13.0,26.0,98.0,198.0,197.0,196.0,38.0,8.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0
WBGene00011605,1,46.0,47.0,47.0,51.0,51.0,52.0,54.0,55.0,63.0,66.0,62.0,49.0,46.0,42.0,38.0,31.0,13.0,3.0,2.0,2.0,2.0
WBGene00010562,1,25.0,136.0,599.0,663.0,673.0,682.0,689.0,699.0,711.0,2858.0,2824.0,2447.0,469.0,174.0,46.0,2.0,2.0,2.0,1.0,1.0,1.0
WBGene00010496,1,1.0,2.0,2.0,9.0,10.0,17.0,17.0,19.0,49.0,94.0,76.0,37.0,16.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
WBGene00010560,1,1.0,2.0,39.0,59.0,66.0,93.0,102.0,122.0,148.0,154.0,153.0,106.0,75.0,46.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0
WBGene00021073,1,45.5,54.0,61.5,209.5,500.0,500.0,500.0,500.0,500.0,1110.5,1105.5,1053.5,122.0,36.5,3.5,2.0,2.0,1.5,1.0,0.5,0.5
WBGene00020383,1,14.0,15.0,15.0,21.0,33.0,35.0,46.0,54.0,61.0,65.0,64.0,58.0,30.0,15.0,9.0,2.0,1.0,1.0,1.0,1.0,0.0
WBGene00011814,1,12.0,18.0,43.0,47.0,49.0,52.0,55.0,55.0,55.0,55.0,54.0,54.0,50.0,32.0,11.0,1.0,1.0,1.0,1.0,1.0,0.0
WBGene00020950,1,109.0,329.0,373.0,500.0,500.0,501.0,516.0,544.0,560.0,1560.0,1518.0,1390.0,985.0,371.0,110.0,10.0,1.0,1.0,1.0,1.0,0.0
WBGene00006542,1,26.0,61.0,73.0,111.0,125.0,138.0,159.0,167.0,171.0,133.0,132.0,131.0,120.0,105.0,72.0,11.0,4.0,1.0,1.0,1.0,0.0
WBGene00020796,1,3.0,3.0,3.0,9.0,12.0,12.0,14.0,15.0,23.0,44.0,43.0,36.0,12.0,8.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
WBGene00004916,1,0.0,0.5,1.0,18.5,31.5,43.5,49.0,68.5,95.0,106.0,105.0,104.0,91.0,44.0,23.0,10.5,1.5,1.0,1.0,0.5,0.5
WBGene00013024,1,11.0,17.0,18.0,51.0,79.0,98.0,102.0,102.0,106.0,113.0,112.0,104.0,74.0,18.0,10.0,4.0,2.0,2.0,2.0,2.0,1.0
WBGene00004735,1,2.0,2.0,4.0,17.0,18.0,18.0,18.0,19.0,26.0,36.0,20.0,18.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
WBGene00020636,1,3.0,30.0,127.0,145.0,285.0,419.0,464.0,502.0,507.0,938.0,921.0,719.0,438.0,155.0,131.0,89.0,18.0,4.0,1.0,1.0,1.0
WBGene00004391,1,216.0,277.0,494.0,504.0,504.0,505.0,505.0,505.0,505.0,892.0,890.0,869.0,661.0,232.0,93.0,87.0,67.0,8.0,1.0,1.0,1.0
WBGene00000275,1,2.0,3.0,3.0,12.0,24.0,39.0,74.0,275.0,500.0,1450.0,1190.0,19.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
WBGene00021021,1,2.0,2.0,2.0,4.0,4.0,4.0,7.0,8.0,11.0,17.0,16.0,16.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0
WBGene00004312,1,43.0,49.0,61.0,78.0,115.0,446.0,739.0,898.0,1031.0,2797.0,2663.0,1772.0,756.0,286.0,94.0,25.0,5.0,5.0,0.0,0.0,0.0
WBGene00011367,1,2.0,2.0,2.0,5.0,9.0,15.0,18.0,20.0,22.0,25.0,24.0,18.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
WBGene00013029,1,1.0,2.0,3.0,89.0,229.0,326.0,329.0,351.0,404.0,422.0,421.0,418.0,327.0,171.0,59.0,4.0,2.0,2.0,2.0,1.0,1.0
WBGene00020866,1,2.0,3.0,13.0,30.0,41.0,101.0,105.0,111.0,112.0,115.0,114.0,114.0,86.0,36.0,18.0,10.0,3.0,2.0,1.0,1.0,1.0
WBGene00012316,1,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,698.0,697.0,681.0,668.0,665.0,149.0,5.0,3.0,2.0,2.0,1.0,1.0
WBGene00020705,1,1.0,1.0,1.0,3.0,5.0,9.5,17.0,20.0,24.0,30.0,29.0,27.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
WBGene00000209,1,0.0,1.0,2.0,4.0,4.0,15.0,21.0,22.0,23.0,25.0,24.0,24.0,24.0,5.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0
WBGene00000962,1,279.0,290.5,315.5,355.5,384.5,428.5,447.5,464.5,479.5,336.0,279.5,230.0,153.5,25.5,22.5,6.5,2.0,1.0,1.0,0.5,0.0
WBGene00019432,1,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
WBGene00006773,1,29.0,29.0,29.0,32.0,47.0,598.0,1034.0,1264.0,1462.0,1908.0,1771.0,1123.0,435.0,210.0,90.0,29.0,11.0,4.0,1.0,0.0,0.0
WBGene00013025,1,223.0,224.0,226.0,370.0,504.0,504.0,504.0,504.0,504.0,2272.0,2271.0,2226.0,311.0,222.0,186.0,61.0,49.0,18.0,13.0,2.0,2.0
WBGene00003951,1,4.0,4.0,69.0,82.0,129.0,285.0,317.0,406.0,500.0,573.0,572.0,571.0,288.0,74.0,19.0,4.0,4.0,4.0,2.0,2.0,1.0
WBGene00003184,1,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00001595,1,4.0,11.0,20.0,35.0,82.0,122.0,129.0,131.0,133.0,134.0,132.0,106.0,29.0,13.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
WBGene00004486,1,0.0,1.0,22.0,63.0,64.0,72.0,79.0,80.0,89.0,91.0,90.0,90.0,90.0,66.0,62.0,56.0,16.0,1.0,1.0,1.0,1.0
WBGene00001087,1,2.0,2.0,3.0,3.0,11.0,26.0,37.0,44.0,51.0,49.0,30.0,13.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
WBGene00003047,1,28.0,34.0,72.0,1001.0,1680.0,2084.0,2169.0,2206.0,2245.0,4390.0,4293.0,3826.0,2829.0,2092.0,1403.0,931.0,516.0,273.0,107.0,45.0,30.0
WBGene00012556,1,1.0,1.0,1.0,4.0,9.0,17.0,18.0,19.0,20.0,25.0,24.0,24.0,18.0,9.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0
WBGene00001040,1,2.0,2.0,2.0,2.0,4.0,83.0,427.0,500.0,500.0,1959.0,1906.0,350.0,26.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
WBGene00001005,1,0.0,0.0,20.0,43.0,64.0,116.0,128.0,130.0,132.0,135.0,134.0,133.0,130.0,99.0,64.0,42.0,37.0,25.0,17.0,8.0,1.0
WBGene00021061,1,2.0,2.0,2.0,3.0,3.0,8.0,16.0,16.0,18.0,20.0,18.0,17.0,9.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
WBGene00000896,1,0.0,0.0,2.0,26.0,39.0,43.0,43.0,43.0,44.0,46.0,45.0,45.0,42.0,39.0,26.0,12.0,8.0,1.0,1.0,1.0,0.0
WBGene00006707,1,1.0,3.0,10.0,13.0,48.0,454.0,501.0,501.0,501.0,859.0,843.0,816.0,425.0,23.0,13.0,3.0,3.0,2.0,1.0,0.0,0.0
WBGene00004754,1,70.0,74.0,77.0,89.0,92.0,100.0,109.0,114.0,135.0,119.0,108.0,86.0,78.0,74.0,59.0,26.0,7.0,3.0,1.0,1.0,1.0
WBGene00004487,1,3.0,14.0,53.0,71.0,85.0,95.0,134.0,219.0,396.0,467.0,466.0,465.0,464.0,163.0,64.0,52.0,44.0,26.0,3.0,1.0,1.0
WBGene00003788,1,2.0,2.0,2.0,3.0,15.0,17.0,20.0,20.0,20.0,23.0,21.0,18.0,7.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
WBGene00004919,1,0.0,0.0,1.0,26.0,43.0,47.0,48.0,50.0,72.0,111.0,110.0,110.0,107.0,49.0,45.0,32.0,15.0,3.0,1.0,1.0,1.0
WBGene00002064,1,2.0,3.0,38.0,70.0,75.0,89.0,105.0,115.0,119.0,79.5,78.5,78.5,64.0,40.5,32.5,15.5,2.5,1.0,1.0,0.5,0.0
WBGene00000378,1,60.0,225.0,466.0,500.0,500.0,501.0,501.0,501.0,501.0,1426.0,1422.0,779.0,662.0,355.0,56.0,49.0,36.0,3.0,3.0,1.0,1.0
WBGene00001647,1,3.0,3.0,4.0,20.0,44.0,92.0,98.0,99.0,106.0,71.0,70.0,65.0,54.0,49.0,29.0,10.0,4.0,3.0,1.0,1.0,1.0
WBGene00012059,1,78.0,298.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,4681.0,4464.0,4174.0,3155.0,463.0,60.0,38.0,6.0,1.0,1.0,0.0,0.0
WBGene00004915,1,0.0,0.0,1.0,13.0,32.0,46.0,47.0,67.0,90.0,117.0,116.0,116.0,62.0,26.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0
WBGene00006781,1,18.0,20.0,20.0,20.0,21.0,48.0,120.0,218.0,353.0,419.0,285.0,50.0,20.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
WBGene00003793,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,7.0,11.0,9.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
WBGene00022739,1,3.0,3.0,4.0,9.0,19.0,44.0,55.0,65.0,68.0,41.0,29.0,15.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
WBGene00012484,1,0.0,2.0,3.0,20.0,26.0,53.0,69.0,81.0,86.0,62.0,61.0,49.0,29.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
WBGene00004430,1,1.0,7.0,64.0,74.0,77.0,78.0,79.0,80.0,83.0,87.0,86.0,86.0,81.0,76.0,70.0,63.0,32.0,1.0,1.0,1.0,0.0
WBGene00004914,1,0.0,1.0,3.0,41.0,51.0,58.0,70.0,80.0,108.0,132.0,131.0,131.0,77.0,54.0,37.0,17.0,4.0,2.0,1.0,0.0,0.0
WBGene00002229,1,7.0,19.0,417.0,500.0,500.0,500.0,500.0,500.0,501.0,1017.0,999.0,849.0,26.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
WBGene00020437,1,69.0,72.0,73.0,75.0,83.0,86.0,90.0,95.0,100.0,99.0,96.0,91.0,75.0,67.0,60.0,45.0,12.0,2.0,1.0,1.0,0.0
WBGene00011758,1,23.0,35.0,42.0,48.0,48.0,54.0,57.0,63.0,67.0,68.0,65.0,50.0,47.0,42.0,24.0,12.0,2.0,2.0,2.0,2.0,1.0
WBGene00012528,1,56.0,72.0,81.0,88.0,90.0,98.0,102.0,102.0,103.0,101.0,99.0,92.0,80.0,38.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0
WBGene00021133,1,0.0,0.0,2.0,3.0,4.0,9.0,11.0,13.0,15.0,18.0,17.0,17.0,15.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
WBGene00011867,1,60.0,61.0,61.0,64.0,64.0,65.0,68.0,71.0,72.0,73.0,64.0,62.0,57.0,54.0,50.0,40.0,18.0,16.0,3.0,1.0,1.0
WBGene00020423,1,22.0,36.0,49.0,63.0,508.0,1583.0,1746.0,1820.0,1906.0,3925.0,3736.0,2838.0,1660.0,879.0,406.0,168.0,49.0,15.0,9.0,4.0,2.0
WBGene00012204,1,11.0,18.0,46.0,60.0,113.0,520.0,584.0,633.0,701.0,1520.0,1519.0,1510.0,1194.0,567.0,233.0,61.0,7.0,2.0,2.0,2.0,1.0
WBGene00000002,0,62.0,73.0,104.0,218.0,356.0,500.0,500.0,500.0,500.0,3064.0,3063.0,3007.0,1182.0,88.0,51.0,7.0,5.0,3.0,2.0,2.0,1.0
WBGene00000003,0,61.0,71.0,101.0,204.0,301.0,500.0,501.0,501.0,501.0,2525.0,2523.0,2469.0,961.0,83.0,44.0,5.0,3.0,3.0,3.0,2.0,1.0
WBGene00000004,0,60.5,72.0,96.0,194.5,353.0,500.0,500.0,500.0,500.0,2450.5,2448.5,2408.5,1061.5,76.0,37.5,5.5,5.0,2.0,2.0,1.5,1.0
WBGene00000008,0,8.0,11.0,70.0,103.0,205.0,367.0,500.0,500.0,500.0,1156.0,1155.0,1058.0,382.0,43.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0
WBGene00000009,0,6.0,12.0,71.0,95.0,128.0,283.0,419.0,500.0,500.0,832.0,831.0,817.0,445.0,60.0,4.0,4.0,4.0,4.0,3.0,1.0,1.0
WBGene00000014,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00000015,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene00000016,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
WBGene00000019,0,2.0,3.0,3.0,3.0,3.0,517.0,535.0,549.0,577.5,5001.0,4571.0,44.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
WBGene00000020,0,22.0,49.5,176.5,956.5,1199.5,1216.5,1225.0,1230.0,1234.0,5001.0,5000.0,4647.0,203.0,43.0,8.0,2.0,2.0,2.0,2.0,1.0,1.0
WBGene00000022,0,49.0,76.0,187.0,877.0,1127.0,1136.0,1139.0,1141.0,1142.0,5001.0,5000.0,4955.0,337.0,86.0,16.0,2.0,2.0,2.0,2.0,1.0,1.0
WBGene00000023,0,23.0,30.0,72.0,831.0,1119.0,1139.0,1139.0,1139.0,1140.0,5001.0,5000.0,4992.0,331.0,51.0,8.0,2.0,2.0,1.0,1.0,1.0,1.0
WBGene00000025,0,1.0,1.0,1.0,2.0,4.0,8.0,13.0,16.0,23.0,23.0,21.0,20.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0
WBGene00000026,0,,,,,,,,,,,,,,,,,,,,,
WBGene00000029,0,6.0,8.0,11.0,12.0,12.0,15.0,19.0,21.0,28.0,25.0,24.0,24.0,16.0,14.0,12.0,11.0,11.0,10.0,10.0,3.0,2.0
WBGene00000030,0,3.0,8.0,11.0,12.0,12.0,16.0,20.0,22.0,27.0,23.0,22.0,22.0,18.0,17.0,12.0,10.0,10.0,10.0,8.0,5.0,2.0
WBGene00000031,0,3.0,8.0,11.0,12.0,12.0,16.0,21.0,23.0,27.0,23.0,22.0,22.0,17.0,15.0,13.0,11.0,10.0,10.0,6.0,4.0,2.0
WBGene00000032,0,1.0,4.0,10.0,12.0,12.0,16.0,19.0,20.0,28.0,25.0,24.0,24.0,18.0,15.0,12.0,11.0,11.0,10.0,7.0,0.0,0.0
WBGene00000033,0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,11.0,28.0,11.0,9.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
WBGene00000034,0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
WBGene00000035,0,21.0,24.0,117.0,501.0,501.0,501.0,501.0,501.0,501.0,936.0,933.0,770.0,531.0,36.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
WBGene00000037,0,18.0,24.0,84.0,474.0,501.0,501.0,501.0,501.0,501.0,943.0,941.0,785.0,429.0,29.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0
WBGene00000038,0,20.0,24.0,91.0,474.0,501.0,501.0,501.0,501.0,502.0,960.0,957.0,781.0,410.0,37.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0
WBGene00000042,0,61.0,128.0,188.0,224.0,253.0,368.0,481.0,529.0,540.0,582.0,579.0,532.0,200.0,139.0,15.0,2.0,1.0,1.0,1.0,1.0,0.0
WBGene00000043,0,77.0,137.0,178.0,215.0,250.0,309.0,366.0,450.0,517.0,531.0,530.0,481.0,213.0,141.0,14.0,5.0,1.0,1.0,1.0,1.0,0.0
WBGene00000044,0,3.0,7.0,18.0,169.0,232.0,279.0,316.0,351.0,417.0,458.0,457.0,422.0,107.0,7.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0
WBGene00000046,0,26.0,82.0,177.0,213.0,246.0,289.0,338.0,393.0,475.0,525.0,524.0,477.0,206.0,91.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0
WBGene00000048,0,55.0,108.0,189.0,233.0,255.0,345.0,426.0,479.0,504.0,570.0,569.0,542.0,221.0,114.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0
WBGene00000050,0,61.0,140.0,190.0,227.0,256.0,336.0,409.0,466.0,507.0,552.0,551.0,528.0,225.0,142.0,25.0,2.0,2.0,2.0,2.0,2.0,1.0
